2024-05-31 18:30:00.000Z,464
2024-06-01 18:30:00.000Z,472
2024-06-02 18:30:00.000Z,287.008
2024-06-03 18:30:00.000Z,267.008
2024-06-04 18:30:00.000Z,512.992
2024-06-05 18:30:00.000Z,320.992
2024-06-06 18:30:00.000Z,239.008
2024-06-07 18:30:00.000Z,116.992
2024-06-08 18:30:00.000Z,52
2024-06-09 18:30:00.000Z,337.024
2024-06-10 18:30:00.000Z,346.976
2024-06-11 18:30:00.000Z,229.024
2024-06-12 18:30:00.000Z,139.968
2024-06-13 18:30:00.000Z,282.016
2024-06-14 18:30:00.000Z,397.984
2024-06-15 18:30:00.000Z,252.032
2024-06-16 18:30:00.000Z,469.984
2024-06-17 18:30:00.000Z,468
2024-06-18 18:30:00.000Z,367.008
2024-06-19 18:30:00.000Z,328
2024-06-20 18:30:00.000Z,168
2024-06-21 18:30:00.000Z,272
2024-06-22 18:30:00.000Z,404.992
2024-06-23 18:30:00.000Z,344.992
2024-06-24 18:30:00.000Z,284
2024-06-25 18:30:00.000Z,170.016
2024-06-26 18:30:00.000Z,164.992
2024-06-27 18:30:00.000Z,343.008
2024-06-28 18:30:00.000Z,340
2024-06-29 18:30:00.000Z,205.984
2024-06-30 18:30:00.000Z,205.984
2024-07-1 18:30:00.000Z,205.984
2024-07-2 18:30:00.000Z,205.984
2024-07-3 18:30:00.000Z,205.984
2024-07-4 18:30:00.000Z,205.984
